EAN_ID;Patrimonium Type;Patrimonium Functietype;Meetmethode;Richting
681;;;Continu;Afname
125;;;Continu;Afname
213;;;Continu;Afname
603;;;Continu;Afname
1699;;;Continu;Afname
452;Gebouw;Zwembad;Continu;Afname
1016;;;Continu;Afname
1206;;;Continu;Afname
1287;;;Continu;Afname
1480;Gebouw;Administratief centrum;Continu;Afname
181;;;Continu;Afname
907;Gebouw;Cultureel centrum;Continu;Afname
985;;;Continu;Afname
1737;;;Continu;Afname
1071;;;Continu;Afname
276;;;Continu;Afname
599;Gebouw;Museum;Continu;Afname
1277;;;Continu;Afname
1383;Gebouw;Zwembad;Continu;Afname
1409;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
1496;Gebouw;Zwembad;Continu;Afname
78;;;Continu;Afname
1631;;;Continu;Afname
667;Gebouw;Technische middelbare school;Continu;Afname
1363;Gebouw;Administratief centrum;Continu;Afname
155;Gebouw;Administratief centrum;Continu;Afname
977;Gebouw;Museum;Continu;Afname
499;Gebouw;Museum;Continu;Afname
509;Gebouw;Bibliotheek;Continu;Afname
117;;;Continu;Afname
54;Gebouw;Sporthal;Continu;Afname
1233;Gebouw;Sporthal;Continu;Afname
23;Gebouw;Academie;Continu;Afname
147;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
25;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
1382;Gebouw;Administratief centrum;Continu;Afname
27;Gebouw;Sporthal;Continu;Afname
1441;Gebouw;Ontmoetingscentrum;Continu;Afname
1472;Gebouw;Andere gebouwen;Continu;Afname
731;;;Continu;Afname
1528;;;Continu;Afname
1573;Gebouw;Andere gebouwen;Continu;Afname
82;Gebouw;Sportcomplex;Continu;Afname
388;;;Continu;Afname
193;;;Continu;Afname
1707;;;Continu;Afname
1032;Gebouw;Zwembad;Continu;Afname
94;Gebouw;Algemene middelbare school;Continu;Afname
911;Gebouw;Administratief centrum;Continu;Afname
931;;;Continu;Afname
1354;;;Continu;Afname
480;Gebouw;Museum;Continu;Afname
484;;;Continu;Afname
1037;;;Continu;Afname
1056;;;Continu;Afname
1075;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
1107;;;Continu;Afname
1119;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
1131;Gebouw;Ziekenhuis;Continu;Afname
1151;Gebouw;Zwembad;Continu;Afname
1167;Gebouw;Ontmoetingscentrum;Continu;Afname
1201;Gebouw;Lagere school;Continu;Afname
1213;;;Continu;Afname
1237;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
1249;Gebouw;Brandweerkazerne;Continu;Afname
1265;Gebouw;Lagere school;Continu;Afname
639;Gebouw;Museum;Continu;Afname
